更新时间: 2026-04-12 06:50:23（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
天津卫视,http://113.95.132.166:554/rtp/239.77.0.131:5146$广东电信
天津卫视,http://121.238.250.95:8800/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://183.164.55.112:5000/rtp/238.1.78.20:6088$安徽电信
天津卫视,http://221.219.104.6:1193/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://221.219.75.32:4000/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://43.138.5.183:10001/rtp/225.1.8.48:8044$北京市电信
宁夏卫视,http://113.95.132.166:554/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://113.95.132.166:554/rtp/239.77.0.73:5146$广东电信
宁夏卫视,http://183.164.55.112:5000/rtp/238.1.78.109:6744$安徽电信
宁夏卫视,http://221.219.104.6:1193/rtp/239.3.1.169:8212$北京市联通
宁夏卫视,http://221.219.75.32:4000/rtp/239.3.1.169:8212$北京市联通
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
安徽卫视,http://113.95.132.166:554/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://121.238.250.95:8800/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://183.164.55.112:5000/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://183.164.55.112:5000/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://221.219.104.6:1193/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://221.219.75.32:4000/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://43.138.5.183:10001/rtp/225.1.8.52:8064$北京市电信
山东卫视,http://113.95.132.166:554/rtp/239.77.0.94:5146$广东电信
山东卫视,http://121.238.250.95:8800/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://183.164.55.112:5000/rtp/238.1.78.169:7224$安徽电信
山东卫视,http://221.219.104.6:1193/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://221.219.75.32:4000/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://43.138.5.183:10001/rtp/225.1.8.50:8052$北京市电信
山西卫视,http://113.95.132.166:554/rtp/239.77.0.69:5146$广东电信
山西卫视,http://183.164.55.112:5000/rtp/238.1.78.95:6632$安徽电信
山西卫视,http://221.219.104.6:1193/rtp/239.3.1.42:8172$北京市联通
山西卫视,http://221.219.75.32:4000/rtp/239.3.1.42:8172$北京市联通
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
广东卫视,http://113.95.132.166:554/rtp/239.77.0.27:5146$广东电信
广东卫视,http://113.95.132.166:554/rtp/239.77.0.65:5146$广东电信
广东卫视,http://113.95.132.166:554/rtp/239.77.0.66:5146$广东电信
广东卫视,http://113.95.132.166:554/rtp/239.77.0.84:5146$广东电信
广东卫视,http://121.238.250.95:8800/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://183.164.55.112:5000/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://221.219.104.6:1193/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://221.219.75.32:4000/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://43.138.5.183:10001/rtp/225.1.8.49:8048$北京市电信
广西卫视,http://113.95.132.166:554/rtp/239.77.0.139:5146$广东电信
广西卫视,http://121.238.250.95:8800/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://183.164.55.112:5000/rtp/238.1.78.70:6432$安徽电信
广西卫视,http://221.219.104.6:1193/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://221.219.75.32:4000/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
新疆卫视,http://113.95.132.166:554/rtp/239.77.0.47:5146$广东电信
新疆卫视,http://183.164.55.112:5000/rtp/238.1.78.110:6752$安徽电信
新疆卫视,http://221.219.104.6:1193/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://221.219.75.32:4000/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
江苏卫视,http://113.95.132.166:554/rtp/239.77.0.57:5146$广东电信
江苏卫视,http://113.95.132.166:554/rtp/239.77.1.18:5146$广东电信
江苏卫视,http://121.238.250.95:8800/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://183.164.55.112:5000/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://221.219.104.6:1193/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://221.219.75.32:4000/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://43.138.5.183:10001/rtp/225.1.8.44:8028$北京市电信
江西卫视,http://113.95.132.166:554/rtp/239.77.1.219:5146$广东电信
江西卫视,http://121.238.250.95:8800/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://183.164.55.112:5000/rtp/238.1.78.26:6136$安徽电信
江西卫视,http://221.219.104.6:1193/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://221.219.75.32:4000/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
